region	farm	housing	ownership	residential_area	householder_rel	sex	age_code	marrige_status	education	learn_status	preschool_child	preschool_child_num	economic	sideline	hour_dayjob	hour_sideline	industry	job	job_status	wage_earner_work_form	offday	monthly_income
37	2	1	1	33	1	1	6	3	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	1	83	3	1	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	74	2	2	4	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	5	1	40	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	20	2	2	6	2	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	1	1	1	66	2	1	6	2	1	1	2	-1	1	2	10	-1	1	6	4	-1	5	2
37	2	4	2	42	1	2	4	4	3	1	2	-1	1	2	25	-1	9	9	1	1	3	2
37	2	1	1	89	1	1	3	2	4	1	2	-1	1	1	56	10	4	5	1	1	5	6
37	2	2	1	86	1	1	3	2	4	3	1	2	1	2	91	-1	5	9	3	-1	1	9
37	2	2	1	85	3	2	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	69	1	2	6	2	1	1	2	-1	1	2	70	-1	6	4	3	-1	5	3
37	2	2	1	60	1	1	3	2	3	1	1	2	1	2	20	-1	5	9	1	2	1	3
37	2	2	1	83	1	1	4	2	5	2	2	-1	1	2	50	-1	9	4	1	1	3	7
37	2	2	4	60	1	1	3	2	5	1	1	1	1	2	45	-1	2	3	1	1	3	8
37	2	2	1	74	1	1	6	2	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	4
37	2	2	2	56	2	2	4	2	3	1	2	-1	1	2	40	-1	2	8	1	2	5	2
37	2	2	1	83	2	2	4	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	60	3	1	3	1	5	1	2	-1	1	2	50	-1	2	8	1	1	1	6
37	2	1	1	60	1	1	5	2	2	1	2	-1	1	2	80	-1	4	5	3	-1	4	4
